parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.204 6.80856e-08 4.94031e-08
-0.202 7.36931e-08 5.34721e-08
-0.2 7.9762e-08 5.78758e-08
-0.198 8.63302e-08 6.26419e-08
-0.196 9.34386e-08 6.78e-08
-0.194 1.01132e-07 7.33823e-08
-0.192 1.09457e-07 7.94236e-08
-0.19 1.18467e-07 8.59617e-08
-0.188 1.28218e-07 9.30371e-08
-0.186 1.38769e-07 1.00694e-07
-0.184 1.50188e-07 1.0898e-07
-0.182 1.62544e-07 1.17946e-07
-0.18 1.75914e-07 1.27649e-07
-0.178 1.90382e-07 1.38148e-07
-0.176 2.06036e-07 1.49508e-07
-0.174 2.22975e-07 1.618e-07
-0.172 2.41302e-07 1.751e-07
-0.17 2.6113e-07 1.89489e-07
-0.168 2.82582e-07 2.05057e-07
-0.166 3.0579e-07 2.219e-07
-0.164 3.30896e-07 2.40121e-07
-0.162 3.58054e-07 2.59831e-07
-0.16 3.87431e-07 2.81152e-07
-0.158 4.19205e-07 3.04214e-07
-0.156 4.53572e-07 3.29157e-07
-0.154 4.90738e-07 3.56133e-07
-0.152 5.30931e-07 3.85306e-07
-0.15 5.74392e-07 4.16853e-07
-0.148 6.21383e-07 4.50964e-07
-0.146 6.72187e-07 4.87843e-07
-0.144 7.27108e-07 5.27713e-07
-0.142 7.86473e-07 5.7081e-07
-0.14 8.50634e-07 6.17391e-07
-0.138 9.19971e-07 6.67731e-07
-0.136 9.94889e-07 7.22127e-07
-0.134 1.07583e-06 7.80898e-07
-0.132 1.16326e-06 8.44384e-07
-0.13 1.25768e-06 9.12954e-07
-0.128 1.35964e-06 9.87002e-07
-0.126 1.46971e-06 1.06695e-06
-0.124 1.58851e-06 1.15325e-06
-0.122 1.71672e-06 1.24638e-06
-0.12 1.85503e-06 1.34687e-06
-0.118 2.00421e-06 1.45526e-06
-0.116 2.16505e-06 1.57214e-06
-0.114 2.33842e-06 1.69814e-06
-0.112 2.52523e-06 1.83393e-06
-0.11 2.72645e-06 1.98021e-06
